month,views,article,access_type
2022-09-01,1020,Elemgasem,mobile
2022-09-01,1118,Tuebingosaurus,mobile
2022-08-01,1336,Bisticeratops,mobile
2022-09-01,511,Bisticeratops,mobile
2022-08-01,10979,Jakapil,mobile
2022-09-01,1532,Jakapil,mobile
2022-08-01,175,Mbiresaurus,mobile
2022-09-01,2649,Mbiresaurus,mobile
2022-08-01,1150,Perijasaurus,mobile
2022-09-01,166,Perijasaurus,mobile
2022-07-01,470,Iyuku,mobile
2022-08-01,253,Iyuku,mobile
2022-09-01,154,Iyuku,mobile
2022-05-01,845,Paralitherizinosaurus,mobile
2022-06-01,645,Paralitherizinosaurus,mobile
2022-07-01,338,Paralitherizinosaurus,mobile
2022-08-01,282,Paralitherizinosaurus,mobile
2022-09-01,213,Paralitherizinosaurus,mobile
2022-03-01,1428,Bashanosaurus,mobile
2022-04-01,326,Bashanosaurus,mobile
2022-05-01,214,Bashanosaurus,mobile
2022-06-01,226,Bashanosaurus,mobile
2022-07-01,256,Bashanosaurus,mobile
2022-08-01,250,Bashanosaurus,mobile
2022-09-01,195,Bashanosaurus,mobile
2022-03-01,464,Dzharaonyx,mobile
2022-04-01,137,Dzharaonyx,mobile
2022-05-01,104,Dzharaonyx,mobile
2022-06-01,136,Dzharaonyx,mobile
2022-07-01,110,Dzharaonyx,mobile
2022-08-01,97,Dzharaonyx,mobile
2022-09-01,87,Dzharaonyx,mobile
2022-09-01,1345,Elemgasem,desktop
2022-09-01,1423,Tuebingosaurus,desktop
2022-08-01,1825,Bisticeratops,desktop
2022-09-01,824,Bisticeratops,desktop
2022-08-01,8745,Jakapil,desktop
2022-09-01,1897,Jakapil,desktop
2022-08-01,265,Mbiresaurus,desktop
2022-09-01,2632,Mbiresaurus,desktop
2022-08-01,1331,Perijasaurus,desktop
2022-09-01,330,Perijasaurus,desktop
2022-07-01,1110,Iyuku,desktop
2022-08-01,486,Iyuku,desktop
2022-09-01,279,Iyuku,desktop
2022-05-01,1875,Paralitherizinosaurus,desktop
2022-06-01,806,Paralitherizinosaurus,desktop
2022-07-01,591,Paralitherizinosaurus,desktop
2022-08-01,438,Paralitherizinosaurus,desktop
2022-09-01,400,Paralitherizinosaurus,desktop
2022-03-01,2351,Bashanosaurus,desktop
2022-04-01,438,Bashanosaurus,desktop
2022-05-01,385,Bashanosaurus,desktop
2022-06-01,379,Bashanosaurus,desktop
2022-07-01,307,Bashanosaurus,desktop
2022-08-01,364,Bashanosaurus,desktop
2022-09-01,268,Bashanosaurus,desktop
2022-03-01,1061,Dzharaonyx,desktop
2022-04-01,282,Dzharaonyx,desktop
2022-05-01,315,Dzharaonyx,desktop
2022-06-01,280,Dzharaonyx,desktop
2022-07-01,206,Dzharaonyx,desktop
2022-08-01,215,Dzharaonyx,desktop
2022-09-01,206,Dzharaonyx,desktop
